year,country,sector,woodland.type,area.t.ha,creation.t.ha,restock.t.ha
1971,England,Private,Conifer,,2.75,1.88
1972,England,Private,Conifer,,3.33,1.89
1973,England,Private,Conifer,,3.07,1.69
1974,England,Private,Conifer,,1.66,1.57
1975,England,Private,Conifer,,1.63,1.23
1976,England,Private,Conifer,,0.79,1.04
1977,England,Private,Conifer,,0.52,0.73
1978,England,Private,Conifer,,0.72,0.66
1979,England,Private,Conifer,,0.42,0.93
1980,England,Private,Conifer,,0.51,1.14
1981,England,Private,Conifer,,0.54,1.20
1982,England,Private,Conifer,,0.50,1.16
1983,England,Private,Conifer,,1.07,1.19
1984,England,Private,Conifer,,1.03,1.02
1985,England,Private,Conifer,,0.54,0.88
1986,England,Private,Conifer,,0.42,1.11
1987,England,Private,Conifer,,0.44,1.12
1988,England,Private,Conifer,,0.53,0.97
1989,England,Private,Conifer,,0.76,0.92
1990,England,Private,Conifer,,0.76,1.34
1991,England,Private,Conifer,,0.91,1.15
1992,England,Private,Conifer,,0.69,1.45
1993,England,Private,Conifer,,0.89,1.21
1994,England,Private,Conifer,,0.56,1.41
1995,England,Private,Conifer,,0.53,0.97
1996,England,Private,Conifer,,0.39,0.83
1997,England,Private,Conifer,,0.46,0.76
1998,England,Private,Conifer,194,0.56,0.80
1999,England,Private,Conifer,195,0.73,0.66
2000,England,Private,Conifer,196,0.70,0.54
2001,England,Private,Conifer,197,0.62,0.75
2002,England,Private,Conifer,198,0.47,0.40
2003,England,Private,Conifer,199,0.31,0.34
2004,England,Private,Conifer,199,0.19,0.33
2005,England,Private,Conifer,199,0.18,0.34
2006,England,Private,Conifer,200,0.08,0.20
2007,England,Private,Conifer,201,0.06,0.21
2008,England,Private,Conifer,201,0.05,0.36
2009,England,Private,Conifer,201,0.01,0.39
2010,England,Private,Conifer,202,0.01,0.30
2011,England,Private,Conifer,202,0.01,0.42
2012,England,Private,Conifer,189,0.01,0.41
2013,England,Private,Conifer,188,0.01,0.80
2014,England,Private,Conifer,188,,1.11
2015,England,Private,Conifer,189,0.08,0.50
2016,England,Private,Conifer,188,,0.56
2017,England,Private,Conifer,189,0.17,0.29
2018,England,Private,Conifer,189,0.24,
2019,England,Private,Conifer,190,0.40,0.03
2020,England,Private,Conifer,191,0.16,0.13
2021,England,Private,Conifer,159,0.18,0.22
2022,England,Private,Conifer,160,0.27,0.27
2023,England,Private,Conifer,160,0.25,
1971,England,Private,Broadleaf,,0.76,0.53
1972,England,Private,Broadleaf,,0.76,0.50
1973,England,Private,Broadleaf,,0.90,0.54
1974,England,Private,Broadleaf,,1.24,0.58
1975,England,Private,Broadleaf,,0.71,0.41
1976,England,Private,Broadleaf,,0.48,0.41
1977,England,Private,Broadleaf,,0.55,0.42
1978,England,Private,Broadleaf,,0.38,0.34
1979,England,Private,Broadleaf,,0.45,0.51
1980,England,Private,Broadleaf,,0.66,0.60
1981,England,Private,Broadleaf,,0.72,0.73
1982,England,Private,Broadleaf,,0.41,0.83
1983,England,Private,Broadleaf,,0.54,0.92
1984,England,Private,Broadleaf,,0.53,1.00
1985,England,Private,Broadleaf,,0.54,1.00
1986,England,Private,Broadleaf,,0.69,1.36
1987,England,Private,Broadleaf,,0.92,1.63
1988,England,Private,Broadleaf,,1.24,1.82
1989,England,Private,Broadleaf,,1.13,1.51
1990,England,Private,Broadleaf,,2.80,2.66
1991,England,Private,Broadleaf,,3.59,2.89
1992,England,Private,Broadleaf,,3.39,2.66
1993,England,Private,Broadleaf,,4.36,2.65
1994,England,Private,Broadleaf,,5.70,2.33
1995,England,Private,Broadleaf,,4.80,1.57
1996,England,Private,Broadleaf,,4.28,1.21
1997,England,Private,Broadleaf,,4.19,1.33
1998,England,Private,Broadleaf,829,3.79,1.25
1999,England,Private,Broadleaf,833,4.39,1.10
